Variável,Mean(ts),Std(ts),f_0(ts)
7555,0.8815000000000001,0.05155337040388339,0.7783932591922332
7556,0.8790000000000002,0.0476602559791699,0.7836794880416604
7557,0.88075,0.05441219991876823,0.7719256001624636
7558,0.8885000000000001,0.05116395215383581,0.7861720956923285
7559,0.88475,0.051948893154715035,0.78085221369057
7560,0.8839999999999998,0.04968903299521938,0.784621934009561
7561,0.8784999999999998,0.045964660338133685,0.7865706793237325
7562,0.88425,0.04481280508961697,0.794624389820766
7563,0.8810000000000001,0.05990826320300064,0.7611834735939988
7564,0.8857499999999999,0.05187183725298344,0.782006325494033
7565,0.8832499999999999,0.05362543706115597,0.7759991258776879
7566,0.8887500000000002,0.04839615170651485,0.7919576965869705
7567,0.8867499999999999,0.049806500579743604,0.7871369988405127
7568,0.8874999999999998,0.0525,0.7824999999999999
7569,0.888,0.053558379363083795,0.7808832412738325
7570,0.8859999999999999,0.045869379764718866,0.7942612404705621
7571,0.88125,0.05560744104883807,0.7700351179023238
7572,0.8767499999999999,0.04927664253984844,0.7781967149203031
7573,0.8730000000000002,0.05530370692819787,0.7623925861436045
7574,0.8875000000000002,0.051659945799429556,0.784180108401141
7575,0.8840000000000002,0.04931024234375655,0.7853795153124872
7576,0.8835,0.04927220311697053,0.7849555937660588
7577,0.8842500000000001,0.0561977535138194,0.7718544929723613
7578,0.8955,0.050914143418111235,0.7936717131637775
7579,0.8857500000000001,0.04475698269544094,0.7962360346091183
7580,0.8897499999999999,0.05657903763762689,0.7765919247247461
7581,0.8847499999999998,0.05218895956042811,0.7803720808791436
7582,0.884,0.05262128846769147,0.778757423064617
7583,0.88575,0.045035402740510724,0.7956791945189786
7584,0.888,0.050803543183522155,0.7863929136329557
7585,0.8897499999999999,0.052926245852128975,0.783897508295742
7586,0.8880000000000001,0.046432747064975605,0.795134505870049
7587,0.8905,0.04355743334954437,0.8033851333009112
7588,0.8887500000000002,0.04865375114007141,0.7914424977198573
7589,0.88725,0.04749934210070705,0.7922513157985859
7590,0.8814999999999997,0.05707670277792859,0.7673465944441425
7591,0.8897499999999999,0.05087914602270757,0.7879917079545848
7592,0.8809999999999999,0.0455686295602578,0.7898627408794843
7593,0.8815000000000001,0.04631684358848301,0.788866312823034
7594,0.888,0.04115215668710452,0.8056956866257909
7595,0.882,0.05409251334519409,0.7738149733096118
7596,0.88375,0.047087020504593416,0.7895759589908132
7597,0.8817500000000001,0.049479162280701566,0.7827916754385971
